domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,resource_detection_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,lama_fd_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,plan_valid,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_plan_length,plan_length,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
freecell,probfreecell-11-1.pddl,abstract,timed out,1800.133678931743,abstract_asp,,0.4379223696887493,0.004598580300807953,,85.48248413205147,0.08745091408491135,0.4087955206632614,3.1583319008350372,0.6230963431298733,,1.6650659181177616,0.21093889325857162,,,,,,18,0,,,15,,16,,14,object,
freecell,probfreecell-11-1.pddl,concrete,timed out,1800.1040801666677,concrete_asp,,,,,,,,3.109890952706337,,,1.5411903895437717,,,,,,,,,,,,,,33,,,
freecell,probfreecell-11-1.pddl,lama,success,6.880657222121954,total,4.385366,,,,,,,,,4.37593,,,,,,,valid,,,,,,92,,,,,
freecell,probfreecell-11-2.pddl,abstract,timed out,1800.213256741874,abstract_solving,,0.45229919999837875,0.004820333793759346,,85.229167887941,0.08792304340749979,0.4159969612956047,3.241271795704961,0.6245859460905194,,1.6782774366438389,0.2086526546627283,39.94309768546373,,,,,18,0,12,0,12,,13,13,14,object,
freecell,probfreecell-11-2.pddl,concrete,timed out,1800.178846668452,concrete_asp,,,,,,,,3.1017073690891266,,,1.5108085349202156,,,,,,,,,,,,,,28,,,
freecell,probfreecell-11-2.pddl,lama,success,6.870549228042364,total,4.454268,,,,,,,,,4.445284,,,,,,,valid,,,,,,89,,,,,
freecell,probfreecell-11-3.pddl,abstract,timed out,1800.1302193701267,abstract_asp,,0.42598435655236244,0.004553318023681641,,84.74699797481298,0.08654088899493217,0.3973056301474571,3.1410877108573914,0.6034773588180542,,1.6632562428712845,0.20531398057937622,,,,,,18,0,,,15,,16,,14,object,
freecell,probfreecell-11-3.pddl,concrete,timed out,1800.181704312563,concrete_asp,,,,,,,,3.1191263049840927,,,1.546957090497017,,,,,,,,,,,,,,29,,,
freecell,probfreecell-11-3.pddl,lama,success,7.258054129779339,total,4.594317,,,,,,,,,4.587248,,,,,,,valid,,,,,,93,,,,,
freecell,probfreecell-11-4.pddl,abstract,timed out,1800.2009615637362,abstract_solving,,0.4177013710141182,0.004485756158828735,,84.2343900501728,0.08726047724485397,0.3913893513381481,3.0938908755779266,0.6009737737476826,,1.633557852357626,0.20467687025666237,57.421981036663055,,,,,18,0,12,3,12,,13,16,14,object,
freecell,probfreecell-11-4.pddl,concrete,timed out,1800.1639449186623,concrete_asp,,,,,,,,3.1825010627508163,,,1.5456074252724648,,,,,,,,,,,,,,29,,,
freecell,probfreecell-11-4.pddl,lama,success,6.9107129499316216,total,4.41205,,,,,,,,,4.40312,,,,,,,valid,,,,,,92,,,,,
freecell,probfreecell-11-5.pddl,abstract,timed out,1800.203930400312,abstract_solving,,0.43290501087903976,0.00476471334695816,,84.60013427957892,0.08896835148334503,0.39845912903547287,3.1007191091775894,0.6029613129794598,,1.6738214492797852,0.20556456968188286,33.28087405860424,,,,,18,0,9,12,9,,10,22,14,object,
freecell,probfreecell-11-5.pddl,concrete,timed out,1800.185181222856,concrete_asp,,,,,,,,3.1148435287177563,,,1.5402919463813305,,,,,,,,,,,,,,33,,,
freecell,probfreecell-11-5.pddl,lama,timed out,1800.1111613698304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freecell,probfreecell-12-1.pddl,abstract,timed out,1800.201250367798,abstract_solving,,0.433940876275301,0.004712521098554134,,103.74752138741314,0.0940236123278737,0.46253141574561596,3.327980389818549,0.723281804472208,,1.7870571073144674,0.24220601189881563,7.533010743558407,,,,,18,0,10,8,10,,11,19,14,object,
freecell,probfreecell-12-1.pddl,concrete,timed out,1800.1850515715778,concrete_asp,,,,,,,,3.477310001850128,,,1.6433452256023884,,,,,,,,,,,,,,33,,,
freecell,probfreecell-12-1.pddl,lama,success,26.778846014291048,total,23.26706,,,,,,,,,23.258674,,,,,,,valid,,,,,,121,,,,,
freecell,probfreecell-12-2.pddl,abstract,timed out,1800.1286309696734,abstract_asp,,0.43047385290265083,0.004702672362327576,,103.96532160043716,0.09420010074973106,0.4547886848449707,3.350290670990944,0.7140778005123138,,1.7877232283353806,0.24287046492099762,,,,,,18,0,,,18,,19,,14,object,
freecell,probfreecell-12-2.pddl,concrete,timed out,1800.1615525707603,concrete_asp,,,,,,,,3.3421934507787228,,,1.6883680559694767,,,,,,,,,,,,,,26,,,
freecell,probfreecell-12-2.pddl,lama,success,8.327653847634792,total,5.233409,,,,,,,,,5.227146,,,,,,,valid,,,,,,99,,,,,
freecell,probfreecell-12-3.pddl,abstract,timed out,1800.146803252399,abstract_asp,,0.48360536620020866,0.004725556820631027,,105.19897824898362,0.09351541474461555,0.44478679820895195,3.3869625702500343,0.7528777420520782,,1.8247864060103893,0.24691056087613106,,,,,,18,0,,,16,,17,,14,object,
freecell,probfreecell-12-3.pddl,concrete,timed out,1800.1756857186556,concrete_asp,,,,,,,,3.322406105697155,,,1.691529180854559,,,,,,,,,,,,,,29,,,
freecell,probfreecell-12-3.pddl,lama,success,7.75098080933094,total,4.642456,,,,,,,,,4.635721,,,,,,,valid,,,,,,88,,,,,
freecell,probfreecell-12-4.pddl,abstract,timed out,1800.1365829752758,abstract_solving,,0.45352990832179785,0.004606600850820541,,103.94572841469198,0.09401248674839735,0.44822245836257935,3.3911300534382463,0.7134994510561228,,1.7899330565705895,0.24234962835907936,231.24143724050373,,,,,18,0,15,0,15,,16,16,14,object,
freecell,probfreecell-12-4.pddl,concrete,timed out,1800.1845448575914,concrete_asp,,,,,,,,3.3171520233154297,,,1.6923332214355469,,,,,,,,,,,,,,32,,,
freecell,probfreecell-12-4.pddl,lama,success,9.403928503394127,total,5.531623,,,,,,,,,5.52302,,,,,,,valid,,,,,,111,,,,,
freecell,probfreecell-12-5.pddl,abstract,timed out,1800.19528272748,abstract_solving,,0.43571172282099724,0.004599574953317642,,103.94329170510173,0.0923490822315216,0.4505022242665291,3.297778759151697,0.7210051231086254,,1.78855349868536,0.25261739268898964,125.87715853378177,,,,,18,0,12,3,12,,13,16,14,object,
freecell,probfreecell-12-5.pddl,concrete,timed out,1800.1853779396042,concrete_asp,,,,,,,,3.4232115065678954,,,1.6809775717556477,,,,,,,,,,,,,,32,,,
freecell,probfreecell-12-5.pddl,lama,success,1123.5259005948901,total,1119.854398,,,,,,,,,1119.845412,,,,,,,valid,,,,,,158,,,,,
freecell,probfreecell-2-1.pddl,abstract,success,29.94314604252577,total,27.064113,0.358031,0.004433,,2.764182,0.037894,0.062809,0.660787,0.222545,,0.275787,0.012279,0.086141,22.489411,,,,18,0,4,0,4,9,5,5,14,object,
freecell,probfreecell-2-1.pddl,concrete,success,20.926827762275934,total,17.58336,,,,,,,0.637266,,,0.260044,,,16.649605,,,valid,,,,,,9,,10,,,
freecell,probfreecell-2-1.pddl,lama,success,2.800393532961607,total,0.661544,,,,,,,,,0.654331,,,,,,,valid,,,,,,9,,,,,
freecell,probfreecell-2-2.pddl,abstract,success,8.381221689283848,total,6.708639,0.28621,0.004347,,2.758776,0.037391,0.062333,0.58331,0.201523,,0.265831,0.012372,0.092703,2.318328,,,,18,0,5,0,5,11,6,6,14,object,
