domain,problem,mode,status,wall_time_seconds,last_completed_phase,total_seconds,problem_reading_seconds,pnf_translation_seconds,symmetry_discovery_seconds,abstraction_seconds,abstract_pddl_writing_seconds,concrete_fd_seconds,abstract_fd_seconds,concrete_asp_seconds,abstract_asp_seconds,abstract_solving_seconds,guided_concrete_solving_seconds,extended_concrete_solving_seconds,verdict,horizon,plan_length,relaxed_deletes,relaxed_inequalities,decrements,increments,abstract_horizon,final_horizon,abstract_solve_calls,concrete_solve_calls,abstracted_object_count,abstracted_object_type,error_message
bag-transport,prob25.pddl,concrete,interrupted,456.51523113809526,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob26.pddl,abstract,interrupted,339.00253716111183,abstract_pddl_writing,,6.226034730672836,0.013807583600282669,32.951353557407856,0.792461670935154,3.018316686153412,,,,,,,,,,,5,0,,,,,,,4,vehicle,
bag-transport,prob26.pddl,concrete,interrupted,297.68038991466165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob27.pddl,abstract,interrupted,352.46673638373613,abstract_pddl_writing,,7.166731242090464,0.013610216788947582,39.05619424022734,0.9073370955884457,3.1831016149371862,,,,,,,,,,,5,0,,,,,,,4,vehicle,
bag-transport,prob27.pddl,concrete,interrupted,316.69525123015046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob28.pddl,abstract,interrupted,335.71932954434305,abstract_pddl_writing,,6.201613607816398,0.012968837283551693,31.781955691985786,0.7886127177625895,2.9584562545642257,,,,,,,,,,,5,0,,,,,,,4,vehicle,
bag-transport,prob28.pddl,concrete,interrupted,294.91493357811123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bag-transport,prob29.pddl,abstract,interrupted,337.75254053622484,abstract_pddl_writing,,6.28258828446269,0.013117518275976181,31.48112779855728,0.7819463945925236,2.8602053113281727,,,,,,,,,,,5,0,,,,,,,4,vehicle,
bag-transport,prob29.pddl,concrete,interrupted,308.7951759286225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cave-diving,prob01.pddl,abstract,success,2.4533684477210045,total,0.603321,0.181759,0.002834,0.131976,0.008544,0.019496,,0.226701,,,,,,unknown,,,9,0,,,,,,,2,diver,
cave-diving,prob01.pddl,concrete,success,30.568829223513603,total,28.776813,,,,,,28.770755,,,,,,,unsolvable,,,,,,,,,,,,,
cave-diving,prob02.pddl,abstract,success,2.407276500016451,total,0.604256,0.179252,0.002808,0.132869,0.008376,0.018636,,0.222243,,,,,,unknown,,,9,0,,,,,,,2,diver,
cave-diving,prob02.pddl,concrete,success,4.439846031367779,total,2.646067,,,,,,2.641464,,,,,,,unsolvable,,,,,,,,,,,,,
cave-diving,prob03.pddl,abstract,success,2.3884695060551167,total,0.592877,0.183498,0.002844,0.12528,0.00834,0.018344,,0.216494,,,,,,unknown,,,9,0,,,,,,,2,diver,
